,자치구,연번,시장명,주소,"건물형
(연면적)","점포수
(빈점포제외)"
,용산구,4,후암시장,"용산구 한강대로104길 77           
(후암동 103-6)","1,141",50
,용산구,5,용문전통시장,용산구 효창원로 40길 13                     (용문동 41-44),"6,470",149
,용산구,6,신흥시장,"용산구 신흥로 95-9                   
(용산동2가 1-480)","3,304",38
,용산구,7,이촌종합시장,"용산구 이촌로75길 16-9           
(이촌동 301-154)","5,122",104
,용산구,8,이태원제일시장,"용산구 녹사평대로52길 19                
(이태원동 274-4)","1,060",10
,성동구,계,8,,,"2,715"
,성동구,1,금남시장,"독서당로 303-7
(금호동3가 326)","1,283",102
,성동구,2,뚝도시장,"성수이로 32-15
(성수동2가 335)","5,141",130
,성동구,3,마장축산물시장,"마장로31길 40
(마장동 510-3)","26,313","1,920"
,성동구,4,행당시장상점가,성동구 왕십리로21길 17,"4,962",76
,성동구,5,성동용답상가시장,"용답25라길 23
(용답동 47-1)","29,118",186
,성동구,6,왕십리도선동상점가,"왕십리로24길 16-1
(도선동 164)","1,999",203
,성동구,7,한양대앞상점가,"마조로 17
(행당동 19-54)","3,939",68
,성동구,8,서울숲 상원길 상점가,상원12길 1,"3,576",30
,광진구,계,16,,,831
,광진구 ,1,조양시장,광진구 아차산로30길 39                                  (자양동 6-20),"6,525",40
,광진구 ,2,노룬산시장,"광진구 뚝섬로 491                     
(자양동 44-2)","1,620",20
,광진구 ,3,신성시장,"광진구 영화사로 12            
(중곡동 79-8)","1,138",25
,광진구 ,4,중곡제일시장,광진구 긴고랑로11길 11                        (중곡동 229-5),"2,760",9
,광진구 ,5,광성시장,광진구 능동로 47길 30                         (중곡동 229-15),"2,136",20
,광진구 ,6,구의시장,"광진구 광나루로 531-5             
(구의동 66-25)","2,530",7
,광진구 ,7,자양종합시장,광진구 자양번영로6길 20                             (자양동 602),"4,724",21
,광진구 ,8,한아름시장,"광진구 능동로13길 39           
(화양동 10-1)","2,456",5
,광진구 ,9,중곡제일골목시장,"광진구 긴고랑로11길 14 
(중곡동 221-6)","14,684",143
,광진구 ,10,자양골목시장,"광진구 자양로13길 59                
(자양동 631-18)","16,400",135
,광진구 ,11,노룬산골목시장,"광진구 뚝섬로25길 6                 
(자양동 553-60)","6,719",52
,광진구 ,12,영동교골목시장,"광진구 동일로10길 30                       
(자양동 246-111)","12,744",96
,광진구 ,13,화양제일골목시장,"광진구 아차산로29길 59
(화양동 34-72)","11,281",86
,광진구 ,14,면곡골목시장,광진구 답십리로 368(중곡동 580-1),,35
,광진구 ,15,능동로골목시장,"광진구 뚝섬로30길 23              
(자양동 553-219)",,89
,광진구 ,16,신성골목시장,"광진구  용마산로6길 9
(중곡동 79-10)",,48
,동대문,계,20,,,"2,661"
,동대문,1,용두시장,동대문구 무학로 37길 12                      (용두동 231-5),"2,794",12
,동대문,2,경동시장,동대문구 왕산로 147                            (제기동 1018),"20,034",594
,동대문,3,동서시장,"동대문구 왕산로33길 13            
(제기동 650)","2,986",53
,동대문,4,전농로터리시장,"동대문구 전농로 15길 7                 
(전농동 295-52)","4,279",80
,동대문,5,동부시장,"동대문구 천호대로 281             
(답십리동 495-1)","4,046",32
,동대문,6,전곡시장,"동대문구 한천로 190                
(장안동 108-5)","1,682",14
,동대문,7,이경시장,"동대문구 휘경로 53                      
(휘경동 151-3)","3,033",78
,동대문,8,이문제일시장,"동대문구 이문로 200                     
(이문동 250-1)","3,392",23
,동대문,9,동부청과시장,동대문구 왕산로34길 26                        (용두동 39-1),"8,013",0
,동대문,10,청량리청과물시장,동대문구 왕산로33길 6                        (제기동 635-35),"7,008",101
,동대문,11,청량리종합시장,동대문구 경동시장로 3-1                      (제기동 996),"1,312",54
,동대문,12,서울약령시장,"동대문구 약령중앙로8길 10                 
(제기동 1126-5)","235,100","1,025"
,동대문,13,경동광성상가,"동대문구 고산자로 464                    
(제기동 849)","1,771",80
,동대문,14,청량리전통시장,"동대문구 홍릉로 1길 26               
(청량리동 777)","1,466",62
,동대문,15,답십리현대시장,동대문구 전농로4길 39                         (답십리동 14-8),"1,439",70
,동대문,16,청량리수산시장,동대문구 고산자로 34길48-1                     (용두동 20-47),"2,775",110
,동대문,17,답십리시장,동대문구 답십리로 51길 7-9                           (답십리동 66-32),"4,419",52
,동대문,18,회기시장,"동대문구 회기로25길 11                    
(회기동 57-220)","5,921",64
,동대문,19,청량종합도매시장,"동대문구 약령시로 92-2              
(제기동 838번지 일대)","1,775",62
,동대문,20,청량리농수산물시장 ,"동대문구 경동시장로 22                
(제기동 629-2번지 일대)","3,614",95
,중랑구,계,15,,,"1,133"
,중랑구,1,동원,"중랑구 면목로74길45            
(면목동 101-1)","1,766",14
,중랑구,2,면목시장,"중랑구 면목로39길11           
(면목동 650)","3,978",26
,중랑구,3,중랑교종합상가,"중랑구 면목로435-1                  
(면목동 129-9)","3,472",78
,중랑구,4,태능엔터피아,"중랑구 동일로129길35             
(중화동 314-1)","4,606",34
,중랑구,5,유영시장,"중랑구 봉우재로70길96              
(망우동 530-3)","7,154",0
,중랑구,6,동성타워프라자,"중랑구 봉화산로221             
(신내동 786)","21,610",48
,중랑구,7,신아타운,"중랑구 봉화산로194             
(신내동666)","31,129",127
,중랑구,8,우림골목시장,"중랑구 망우로62길52-4                
(망우동 463-44)","22,269",130
,중랑구,9,면목골목시장,"중랑구 면목로33길20-14         
(면목동 352-9)","13,564",92
,중랑구,10,동부골목시장,"중랑구 중랑천로10길61             
(상봉동 130-161)","4,500",120
,중랑구,11,동원골목시장,"중랑구 상봉로11길37            
(면목동 103-1)","6,360",127
,중랑구,12,사가정시장,"중랑구 면목로44길16             
(면목동 472-45)","5,807",117
,중랑구,13,중화제일시장,"중랑구 동일로143길 43        
(중화동 일대)",,30
,중랑구,14,묵1동도깨비시장,"중랑구 공릉로12가길 18        
(묵동 일대)",,75
,중랑구,15,태능시장,"중랑구 동일로129길 35            
(중화동 일대)",,115
,성북구,계,14,,,"1,174"
,성북구,1,길음시장,"성북구 동소문로 227 
(길음동 535-8, 540-2)","8,635",137
,성북구,2,장위시장,"성북구 장위로 126 장위쇼핑(슈퍼마켓) 
(장위동 238-496)","3,678",26
,성북구,3,번동시장,"성북구 한천로101길 59 번동시장 
(장위동 301)","1,914",14
,성북구,4,석관시장,"성북구 돌곶이로22가길 27 
(석관1동 270-1)","4,111",20
,성북구,5,새석관시장,"성북구 화랑로 202 
(석관동 338-18)","5,871",5
,성북구,6,동소문 스카이상가,성북구 성북로 4길52 스카이 프라자 상가 동관 (돈암동 606일대),"25,215",328
,성북구,7,돈암시장,"성북구 동소문로18길 12-3 
(동소문동5가 59-21 일대)","13,867",118
,성북구,8,장위전통시장,"성북구 장월로12길 41-1  (장위동)  
(장위동 68-225 일대)","9,599",130
,성북구,9,석관황금시장,"성북구 돌곶이로22길 54-16 
(석관동 279-35 일대)","7,150",88
,성북구,10,정릉시장,"성북구 보국문로11길 18-19  (정릉동)   
(정릉동 400-15호 일대)","9,954",116
,성북구,11,정릉아리랑시장,"성북구 정릉로 26가길36일대
(정릉동 443-1)","4,284",54
,성북구,12,밤나무골시장,"성북구 오패산로 79 
(하월곡동 76-8 일대)",,18
,성북구,13,삼선골목시장,"성북구 동소문로6길 22 
(동소문동2가 146)",,50
,성북구,14,장계시장,성북구 한천로97길 33,,70
,강북구,계,18,,,924
,강북구,1,수유시장,"강북구 도봉로67길 18              
(수유동 54-5)","6,884",70
,강북구,2,숭인시장,"강북구 도봉로 45                 
(미아동 60-4,5,10,11)","4,675",107
,강북구,3,번동북부시장,"강북구 한천로123길 26                   
(번동 413-3)","2,903",41
,강북구,4,수유중앙시장,"강북구 노해로17길 21               
(수유동 32-2)","4,438",28
,강북구,5,우이시장,"강북구 노해로23길 68              
(수유동 270-168)","2,122",13
