,자치구,연번,시장명,주소,"건물형
(연면적)","점포수
(빈점포제외)"
,동작구,13,상도4동도깨비골목시장,동작구 상도로 154 ~ 상도로22길 36,,94
,동작구,14,사당1동먹자골목상점가,동작대로 3길 외,,109
,동작구,15,신대방1동골목상권,"동작구 사당로16가길 13                   
(사당동 267-16)",,113
,동작구,16,만양로상점가,동작구 만양로 92,,30
,관악구 ,계,21,,,"1,469"
,관악구 ,1,봉일시장,"관악구 은천로 28
(은천동 951-25)","3,068",35
,관악구 ,2,봉천현대시장,"관악구 양녕로 49
(은천동 502-4)","2,069",35
,관악구 ,3,봉천제일종합시장,"관악구 청룡2길 29
(청룡동 921-1)","3,521",48
,관악구 ,4,봉천중앙시장,"관악구 관악로 211
(중앙동 32-2)","3,406",36
,관악구 ,5,신림종합시장,관악구 남부순환로157길 63                           (신사동 505-1),"3,778",25
,관악구 ,6,신신림시장,"관악구 원신2길 34
(삼성동 390-1)","1,824",11
,관악구 ,7,신림중앙시장,"관악구 조원로16길 27
(조원동 541)","6,167",140
,관악구 ,8,원당종합시장,"관악구 남부순환로248길 35
(인헌동 1638-20)","2,059",7
,관악구 ,9,우림시장,"관악구 난곡로26길 4
(난곡동 637-1)","1,726",17
,관악구 ,10,관악종합시장,"관악구 신원로 23
(신원동 1602-1)","2,036",57
,관악구 ,11,신림현대종합상가,"관악구 신림로29길 8
(서림동 1694)","5,053",43
,관악구 ,12,신원시장,"관악구 신원로3길 20-3
(신원동 1587-26)","3,678",119
,관악구 ,13,관악신사시장,"관악구 난곡로74길 58
(신사동 494-7)","3,778",100
,관악구 ,14,조원동 펭귄시장,"관악구 남부순환로143나길 7
(조원동 541-6)","9,831",70
,관악구 ,15,인헌시장,"관악구 인헌6길 16
(인헌동 1638-22)","9,751",52
,관악구 ,16,삼성동 시장,"관악구 원신1길 28-1
(삼성동 808-495)","4,800",206
,관악구 ,17,낙성대 시장,"관악구 관악로14길 63
(낙성대동 1612-28)","2,160",53
,관악구 ,18,서원동상점가,"관악구 신림로 329
(서원동 1637)","17,115",200
,관악구 ,19,중부시장,"관악구 관악로24길 25
(행운동 34-9)",,80
,관악구 ,20,미성동 도깨비시장,"관악구 미성3길 1
(미성동 727-5)","9,190",83
,관악구 ,21,강남골목시장,"관악구 조원로4길 21
(조원동 1652-1)","11,108",52
,서초구,계,6,,,747
,서초구,1,남부종합시장,서초구 방배중앙로27길 17                        (방배본동 767-1),"5,975",47
,서초구,2,양재시장,"서초구 남부순환로356길 15 
(양재동 1-7)","2,525",21
,서초구,3,강남터미널지하도상점가1구역,"서초구 신반포로 200 
(반포동 163 지하도상가 라40)","7,696",137
,서초구,4,강남터미널지하도상점가2구역,"서초구 신반포로 200 
(반포동 163-1 지하도상가)","12,587",291
,서초구,5,강남터미널지하도상점가3구역,"서초구 신반포로 200
(반포동 225 지하도상가 바45)","11,283",200
,서초구,6,고속터미널 지하철역 상점가 ,"서초구 신반포로 194
(반포동 19-3,4)","1,556",51
,강남구,계,10,,,"1,656"
,강남구,1,강남시장,"강남구 압구정로2길 46
 (신사동 510-11호)","4,856",100
,강남구,2,영동전통시장,"강남구 강남대로 128길 20
(논현동 140외 44필지)","39,954",119
,강남구,3,논현종합시장,"강남구 봉은사로33길 33
(논현동 227-4)","2,439",80
,강남구,4,신사상가,"강남구 압구정로29길 72-1
(압구정동 454)","2,931",84
,강남구,5,청담삼익시장,"강남구 학동로 101길 26 
(청담동 134-20)","5,685",165
,강남구,6,강남역 지하도상가,"강남구 테헤란로 101
(역삼동 821-1)","12,099",224
,강남구,7,개포2동 중심상가,"강남구 개포로 512
(개포동186)","12,099",266
,강남구,8,공무원연금매장            상록스토아 개포점,"강남구 영동대로4길 7           
(일원동 613)","4,886",72
,강남구,9,도곡시장,"선릉로 311                                   
(역삼동 765-7)",850,69
,강남구,10,은마종합상점가,"강남구 대치동 316               
(삼성로 212)","28,723",477
,송파구,계,7,,,"1,146"
,송파구,1,마천시장,"마천로 45길 23                      
(마천동 140-2)","3,871",134
,송파구,2,석촌시장,"송파대로 37길 52                      
(석촌동 274-8)","17,833",87
,송파구,3,새마을시장,"백제고분로 15길 42         
(잠실동 2074)","19,961",115
,송파구,4,풍납시장,"바람드리길 34                        
(풍납동 152-81)","23,670",180
,송파구,5,문정동 로데오거리 상점가,"동남로 4길 10                      
(문정동 41-5)","45,850",357
,송파구,6,방이시장,백제고분로 48길                                     (방이동 137-8일대),"35,152",137
,송파구,7,마천중앙시장,"마천로 51가길 23                          
(마천동 146-7)","14,757",136
,강동구,계,13,,,"1,087"
,강동구,1,암사종합시장,"강동구 성암로11길 25
(암사동 501-17)","17,394",105
,강동구,2,길동복조리시장,"강동구 천호대로187길 61
(길동 397-3)","2,050",118
,강동구,3,둔촌역전통시장,"강동구 풍성로58길 34
(성내동 428-9)","3,955",84
,강동구,4,성내골목시장,"강동구 천호대로162길 65
(성내동 144-16)","2,700",80
,강동구,5,명일골목시장,"강동구 양재대로168길 20
(명일동 326-11)","1,862",55
,강동구,6,양지골목시장,"강동구 고덕로27길 15-56
(암사동 450-5)","1,658",38
,강동구,7,고분다리골목시장,"강동구 구천면로34길 10
(천호동 393-33)","1,468",81
,강동구,8,로데오거리상점가,"강동구 천호대로157길 14
(천호동 454-50)","6,273",157
,강동구,9,천호시장,"강동구 구천면로 205
(천호동 421-1)","2,070",37
,강동구,10,천호신시장,"강동구 구천면로 209
(천호동 422-2)","4,850",105
,강동구,11,동서울시장,"강동구 올림픽로80길 58
(천호동 422-1)","4,515",46
,강동구,12,고덕전통시장,"강동구 고덕로83길 12
(고덕동 210-5)","9,823",33
,강동구,13,장신구 특화거리 상점가,"강동구 성내로 83
(성내동 545-6)","3,366",148
